Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Output
25,30,87,23,18,18,27,24,0
25,32,77,24,18,16,26,23,0
27,33,70,25,18,18,25,25,0
27,40,85,24,16,16,23,24,0
27,35,122,26,17,17,23,26,0
28,35,118,24,17,17,22,26,0
28,35,121,26,25,22,28,31,0
32,41,130,28,25,24,31,30,0
34,38,120,28,25,26,30,28,0
36,39,105,28,26,27,31,26,0
36,41,123,30,26,27,31,28,0
33,40,122,29,20,23,26,22,0
29,33,119,27,20,21,23,24,0
24,30,131,26,21,19,26,25,0
25,30,117,23,19,17,26,26,0
25,25,100,21,20,19,26,24,0
29,27,115,20,20,19,25,24,0
30,28,146,21,20,19,24,23,0
30,35,136,22,19,20,20,21,0
29,35,134,23,19,21,20,21,0
29,36,141,24,19,20,19,21,0
31,39,131,22,18,22,20,27,0
34,40,85,22,17,22,23,29,0
35,36,85,24,17,20,23,30,0
35,35,94,25,18,21,23,31,0
37,38,74,23,17,21,23,32,0
35,34,76,25,19,20,22,29,0
32,31,94,24,19,20,19,28,0
29,29,101,20,20,20,20,26,0
32,42,92,20,19,18,19,27,0
30,38,92,22,19,18,19,27,0
33,41,103,21,16,19,20,28,0
34,41,88,20,16,18,21,27,0
35,43,95,23,16,19,20,26,0
39,31,98,24,17,19,20,25,0
40,36,101,24,18,20,22,25,0
36,37,88,23,19,19,21,25,0
37,43,93,25,19,19,18,27,0
37,43,85,26,18,19,20,28,0
34,42,95,26,17,19,21,27,0
35,43,103,27,19,20,20,27,0
34,41,101,28,19,17,22,27,0
30,34,97,28,18,18,22,25,0
32,34,108,25,19,18,23,25,0
29,35,99,26,21,19,24,26,0
28,30,92,26,18,18,24,25,0
28,30,98,25,20,20,22,23,0
32,36,99,24,21,21,23,25,0
30,34,76,22,20,20,23,25,0
27,35,76,20,21,22,22,25,0
29,36,85,21,22,23,22,26,0
29,38,75,22,21,23,21,25,0
28,33,71,22,20,21,20,24,0
27,33,76,22,21,23,23,23,0
32,35,85,23,19,21,22,26,0
31,35,72,22,19,19,22,26,0
37,35,75,22,21,19,23,29,0
35,36,76,22,24,21,25,29,0
41,42,92,24,23,20,22,34,0
39,39,86,26,24,18,22,31,0
39,39,90,26,23,20,21,30,0
33,37,94,24,23,19,21,28,0
36,37,92,23,21,18,20,31,0
30,30,76,22,20,18,20,25,0
28,29,69,19,21,18,21,25,0
30,29,80,21,22,16,21,25,0
33,30,78,21,20,16,22,28,0
30,30,84,21,19,16,22,25,0
29,35,89,22,20,19,21,25,0
29,36,105,22,19,20,25,26,0
28,35,98,19,18,21,25,26,0
26,35,96,22,18,21,24,24,0
30,36,91,22,21,23,23,23,0
31,29,93,20,21,21,24,26,0
35,31,83,21,20,21,21,29,0
34,35,84,20,21,19,20,28,0
34,34,88,18,22,20,21,27,0
29,34,99,18,20,20,20,27,0
30,34,93,18,21,20,20,26,0
25,38,86,18,22,20,20,22,0
28,35,90,21,21,21,24,23,0
28,34,96,21,21,20,24,23,0
33,42,85,23,20,21,24,23,0
32,45,89,24,19,21,24,24,0
34,40,93,27,19,21,25,25,0
32,38,83,25,19,19,20,24,0
31,43,66,25,18,18,19,23,0
28,35,78,23,18,17,21,26,0
29,34,75,23,20,19,21,22,0
28,33,69,22,21,18,19,23,0
27,34,87,22,19,19,18,22,0
26,35,103,24,21,20,21,22,0
24,34,93,24,22,19,20,18,0
30,35,94,24,21,18,20,23,0
28,35,95,21,20,19,19,22,0
31,36,91,23,24,19,22,25,0
31,31,79,20,21,19,20,26,0
33,33,80,19,20,20,22,27,0
28,30,78,19,19,19,22,28,0
30,35,91,21,21,19,25,27,0
28,35,88,20,18,19,23,26,0
28,35,89,20,19,20,23,24,0
26,34,90,19,20,19,22,23,0
30,37,90,18,21,19,22,20,0
30,33,74,18,19,20,21,21,0
31,32,70,17,19,19,20,19,0
34,39,73,18,19,19,21,21,0
34,40,73,21,20,19,21,23,0
34,38,89,22,21,20,19,21,0
36,41,90,22,20,21,18,22,0
36,42,89,21,21,20,21,26,0
35,37,82,22,21,20,21,25,0
42,36,78,22,20,23,23,25,0
38,37,78,23,20,23,23,27,0
38,33,82,23,20,23,24,28,0
38,32,91,22,18,23,25,26,0
38,35,101,23,21,23,24,26,0
37,36,107,22,19,20,21,29,0
37,36,93,22,21,19,24,28,0
35,36,87,23,21,20,24,28,0
34,37,85,24,23,21,22,27,0
33,32,80,23,20,19,22,28,0
31,29,81,24,22,21,22,24,0
30,28,81,23,19,20,20,24,0
32,32,89,23,20,19,19,23,0
32,31,81,23,19,20,18,22,0
32,32,76,24,21,20,19,23,0
30,32,71,24,18,19,19,23,0
28,37,75,23,21,20,21,25,0
27,33,65,23,21,18,21,26,0
26,31,73,22,21,17,22,26,0
26,32,70,21,20,17,22,28,0
24,36,76,20,20,18,23,26,0
22,29,76,21,19,18,22,24,0
26,33,82,21,20,17,24,24,0
29,41,81,22,18,18,24,25,0
32,44,93,25,20,19,24,24,0
30,40,92,26,22,19,23,23,0
36,42,91,24,21,21,25,25,0
33,44,95,28,20,22,21,24,0
32,37,96,28,22,22,21,25,0
30,32,109,27,20,22,20,24,0
31,37,104,26,18,24,22,24,0
27,36,106,26,17,22,19,22,0
28,32,98,23,18,22,19,24,0
29,35,92,22,17,22,24,22,0
31,38,71,21,17,21,24,26,0
34,35,76,24,19,19,22,27,0
34,33,78,23,21,19,22,27,0
39,38,81,23,22,19,22,28,0
37,35,85,21,22,19,18,27,0
34,33,77,21,23,19,18,25,0
32,33,70,16,22,21,19,22,0
34,40,58,19,21,21,18,26,0
31,38,53,19,20,21,21,24,0
36,39,52,20,21,22,23,27,0
38,45,58,19,21,22,24,27,0
37,46,62,21,22,20,24,29,0
36,39,63,18,22,21,26,28,0
35,39,64,21,23,20,25,29,0
32,39,58,22,22,18,22,28,0
29,32,53,24,23,18,23,27,0
29,31,47,23,20,18,23,28,0
29,36,51,25,20,19,23,25,0
30,33,54,23,22,19,21,24,0
31,34,54,23,20,19,21,23,0
30,33,50,24,20,19,20,25,0
32,41,47,23,20,19,23,26,0
32,36,50,24,21,17,22,25,0
32,36,45,24,18,18,22,27,0
33,40,51,24,20,18,21,29,0
35,43,50,23,19,18,21,26,0
35,36,51,26,19,18,18,24,0
45,42,48,24,18,20,20,28,0
44,42,49,23,17,18,20,26,0
44,37,45,24,15,19,21,24,0
44,39,44,24,17,17,23,25,0
44,40,44,22,18,17,23,26,0
36,36,37,21,20,17,21,23,0
34,37,38,22,21,18,22,24,0
