Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Output
34,39,91,191,368,140,185,54,0
37,42,91,198,371,146,190,56,0
37,40,77,182,348,148,195,52,0
35,37,81,219,367,143,199,49,0
34,37,79,231,330,133,175,49,0
33,37,78,226,264,116,143,45,0
30,34,84,246,235,107,141,41,0
29,37,96,255,267,102,148,35,0
30,45,110,242,276,104,146,33,0
29,46,112,228,272,104,142,33,0
27,44,112,275,321,100,158,32,0
29,46,112,314,332,101,165,39,0
28,46,111,338,312,99,158,39,0
27,39,105,346,280,93,156,39,0
31,48,125,378,298,132,159,39,0
32,50,120,329,242,126,148,45,0
29,47,119,282,256,130,145,42,0
32,49,123,269,269,144,175,43,0
31,50,121,271,321,168,175,43,0
27,43,102,239,311,143,181,41,0
26,45,115,300,346,142,166,36,0
26,45,121,296,350,139,222,35,0
24,45,122,283,355,130,207,33,0
25,43,118,269,320,97,207,36,0
27,39,116,256,342,95,197,37,0
28,36,107,201,300,106,207,34,0
27,37,97,186,309,118,159,33,0
27,35,90,203,306,114,144,33,0
27,39,94,201,289,124,147,31,0
23,39,96,215,327,121,169,29,0
22,36,91,198,422,133,159,32,0
23,36,87,208,407,116,128,34,0
26,38,77,229,408,120,133,34,0
24,35,67,219,412,111,132,34,0
28,34,66,258,488,111,141,40,0
32,37,71,264,416,91,159,40,0
33,40,83,271,428,109,171,37,0
33,36,83,239,415,112,168,38,0
34,37,85,250,424,110,174,37,0
32,37,83,196,281,114,156,30,0
31,36,88,189,260,118,139,31,0
31,37,80,210,225,108,120,36,0
28,37,80,225,237,96,141,33,0
28,36,78,207,198,97,125,35,0
28,36,87,233,173,92,132,40,0
26,39,82,234,176,85,130,39,0
23,34,85,292,191,79,141,34,0
24,36,84,276,192,88,128,35,0
22,37,83,283,226,98,134,34,0
22,37,78,281,230,102,119,36,0
25,36,84,294,235,92,125,39,0
28,39,81,234,234,94,111,40,0
29,44,91,228,252,118,114,41,0
31,47,98,228,255,130,132,41,0
30,46,95,211,284,144,139,37,0
31,53,101,205,286,164,134,37,0
31,53,110,178,304,171,137,37,0
32,50,110,222,342,157,135,36,0
32,45,101,210,367,152,122,35,0
32,48,117,252,355,136,121,36,0
30,40,109,239,393,118,117,35,0
32,39,98,232,404,114,178,38,0
28,36,94,226,427,122,175,38,0
29,37,95,236,405,125,170,40,0
30,36,77,186,409,138,163,38,0
29,36,76,191,371,144,188,35,0
28,36,91,227,339,145,140,33,0
30,38,87,236,262,136,138,33,0
31,41,91,233,249,121,137,34,0
32,44,90,231,240,103,137,32,0
33,42,88,238,265,98,97,34,0
36,41,71,218,330,118,85,37,0
35,43,73,172,312,115,80,38,0
34,41,69,233,355,116,139,40,0
34,36,65,242,361,116,143,41,0
33,37,68,250,372,126,148,39,0
28,36,77,235,365,107,166,34,0
29,35,84,247,384,113,201,33,0
31,39,98,230,345,118,163,30,0
30,41,101,227,369,121,174,29,0
28,41,98,230,342,102,175,30,0
31,42,90,239,293,101,190,35,0
39,42,77,231,297,123,157,40,0
36,39,65,208,299,156,164,45,0
37,46,76,231,276,174,158,45,0
39,48,90,225,289,173,163,46,0
35,48,98,233,350,168,120,43,0
